,AC_uncertainty,AD_uncertainty,H_uncertainty,blood_uncertainty,fat_uncertainty,glass_uncertainty,stroma_uncertainty
0,0.001424445246978697,2.892824829218525e-10,6.16615382457534e-08,0.05776579017595699,0.03338891876240571,,0.00034747345992703537
1,0.034121375010969734,4.640223634548116e-05,9.930301103658161e-14,0.05863448322440189,,,0.009923318618287642
2,1.0037279031630912e-07,5.9434238820207e-05,3.4888898166090873e-19,0.07252731863409281,,,0.017241264897165817
3,0.02251576526371839,3.1569478557239944e-08,1.7923181613532791e-06,0.041207652531253795,,,0.0004277053710211475
4,4.333859778900736e-07,0.009166800785654535,1.5993643026415645e-15,0.03186119672221442,,,0.010823998573080945
5,3.1716342346517953e-07,9.076668745315136e-11,5.956543334383521e-11,0.021550394444784616,,,0.01005199410719797
6,2.473772625085265e-06,0.17859218052229459,0.1309455249768992,0.026901811455415255,,,0.00667527620001541
7,0.15595360224445662,1.692281557825563e-09,2.6747939852967442e-11,0.08092148165499868,,,0.006095038442435908
8,1.1917185853841755e-06,1.676905814641111e-09,1.7747260318235964e-11,0.01907437827758258,,,0.0017784105225776637
9,0.03600153624235342,0.007249020806330007,1.8402861199717792e-05,0.04289051371936996,,,0.015914211600708467
10,2.3982041909316916e-13,0.0014960574008000545,3.0291138799043436e-06,0.027226623195808014,,,0.0005946472738287413
11,1.5230598396935117e-05,1.559502909150486e-06,8.176041842537322e-08,0.037035584216937416,,,0.017595278766627115
12,0.0006296565803040722,0.0007068551321481208,0.00019800437441688248,0.012011545413891631,,,0.018276882520876822
13,3.4372766304358034e-07,2.0656240422994855e-09,0.13945879759266971,0.004140908833990882,,,0.0009577481372010273
14,0.04009102886387457,3.763298683276696e-12,1.4707413527788777e-12,0.03700270636472851,,,0.00916809104285979
15,0.0854923654347658,1.1234126809552454e-07,1.0764129337870188e-09,0.00789319482234229,,,0.0018561287545253438
16,0.00023330044812913306,0.004584987983495618,0.033768971263149684,0.026297366619110106,,,0.003383608988951892
17,0.0028153873776318506,4.896054673205381e-07,4.889688033269356e-14,0.029468334722332658,,,0.014380379238476355
18,0.0002449656006471438,0.0333354542919551,7.597555241762681e-10,0.011575935684959404,,,0.0095254517912205
19,0.016318281614682444,0.013608737777152177,6.113612844053582e-12,0.03968889645572441,,,0.007410172208134706
20,0.17505705618920422,0.00020051517596613165,5.857115464383741e-08,1.5575185441700037e-05,,,0.011314337281510232
21,4.1970147284094615e-06,6.219791007418725e-08,9.44404986389739e-10,0.057050555308038986,,,0.003235456272765683
22,0.011449205950581623,4.214000712173446e-08,0.00993949999877562,0.02148226135565589,,,0.008352576586185023
23,0.20305182280329367,1.5061921334232528e-08,6.742061905500699e-17,0.0019086173950199736,,,0.0005711180646661282
24,3.962038067258551e-08,0.17490378251920147,7.242687491325194e-12,0.007214539971513052,,,0.00401614516255601
25,0.05482945547361548,1.4770424886976183e-12,2.2803811403302823e-08,0.04253374910913408,,,0.014868263189176409
26,0.16802670500086,0.00013045988628922108,2.0590590488432185e-11,0.04303531280165771,,,0.015661058931921917
27,0.00685780583480664,0.06121347587904892,0.00038328169520506584,0.03948192332560818,,,0.009415125423887125
28,2.164714309656664e-08,7.7147333869713e-05,1.7685717437707547e-13,0.038971173767155656,,,0.012562327266399127
29,0.0009434914887132587,4.0864528023006513e-10,5.38235528484606e-11,,,,0.018711048333595194
30,0.24738009826590615,3.305078370393251e-06,3.2561963132593524e-05,,,,0.005944073861852909
31,2.0978002176856118e-07,2.207580626863622e-06,6.633159961300095e-08,,,,0.008248003591628124
32,6.767176804345355e-06,3.1866999968821467e-07,0.04443069589324296,,,,0.004722801854465312
33,2.2748105668786896e-07,1.3685578990433692e-08,5.751329079650702e-10,,,,0.006366447156566817
34,0.10489644883200526,0.07056742914040418,0.003418672834409945,,,,0.024465191348766284
35,2.851083877134878e-08,2.86715112807201e-07,0.03529374018932383,,,,0.011041590068877364
